"data","nchutefezgol","diaSemana","time","gol","nchutenogol","chutes","chutesgol","possebola","passes","precisaopasses","faltas","cartaoamarelo","cartaovermelho","impedimentos","escanteios","estadio","resultado"
"05/10/19",0.07,"qua","Bahia",1,0.29,14,4,0.46,413,0.83,9,2,0,1,4,"casa","perdeu"
"05/10/19",0,"qua","Grêmio",0,0.22,18,4,0.65,609,0.88,12,3,0,3,10,"casa","empatou"
"06/10/19",0.05,"qui","Palmeiras",1,0.37,19,7,0.67,506,0.88,12,3,0,2,17,"casa","empatou"
"06/10/19",0,"qui","Chapecoense",0,0.2,5,1,0.36,298,0.65,16,1,0,3,1,"casa","perdeu"
"06/10/19",0,"qui","Ceará SC",0,0.22,23,5,0.58,411,0.85,7,1,0,2,15,"casa","perdeu"
"06/10/19",0.2,"qui","CSA",3,0.4,15,6,0.29,242,0.72,10,3,0,1,4,"casa","venceu"
"06/10/19",0,"qui","Botafogo",0,0.45,11,5,0.46,410,0.79,20,4,0,3,5,"casa","perdeu"
"09/10/19",0.25,"seg","Botafogo",3,0.58,12,7,0.43,348,0.76,29,4,0,2,5,"casa","venceu"
"09/10/19",0,"seg","Bahia",0,0.43,14,6,0.4,378,0.82,10,2,0,3,3,"casa","empatou"
"09/10/19",0.07,"seg","CSA",1,0.29,14,4,0.3,259,0.71,16,2,0,0,3,"casa","venceu"
"09/10/19",0.2,"seg","Fortaleza",2,0.5,10,5,0.53,446,0.84,18,4,0,4,2,"casa","venceu"
"09/10/19",0.18,"seg","Grêmio",2,0.36,11,4,0.69,641,0.9,11,0,0,1,4,"casa","venceu"
"10/10/19",0,"ter","Avaí",0,0.12,16,2,0.56,505,0.83,18,1,0,0,7,"casa","empatou"
"10/10/19",0.16,"ter","Flamengo",3,0.32,19,6,0.67,630,0.89,10,0,0,0,9,"casa","venceu"
"09/10/19",0.13,"seg","Santos",2,0.4,15,6,0.57,474,0.88,16,1,0,3,2,"casa","venceu"
"09/10/19",0,"seg","Cruzeiro",0,0.47,17,8,0.51,459,0.77,17,4,0,3,2,"casa","empatou"
"12/10/19",0.06,"sex","Palmeiras",1,0.39,18,7,0.49,413,0.8,22,2,0,2,7,"casa","venceu"
"13/10/19",0,"sáb","Internacional",0,0.08,13,1,0.46,420,0.81,16,2,0,8,9,"casa","empatou"
"12/10/19",0.07,"sex","Goiás",1,0.21,14,3,0.49,365,0.77,17,2,0,2,4,"casa","venceu"
"12/10/19",0.15,"sex","Fluminense",2,0.23,13,3,0.49,434,0.82,11,0,0,1,4,"casa","venceu"
"13/10/19",0.05,"sáb","Atlético-MG",1,0.18,22,4,0.43,394,0.78,17,4,1,0,4,"casa","perdeu"
"13/10/19",0.06,"sáb","São Paulo",1,0.18,17,3,0.55,568,0.88,9,0,0,2,2,"casa","venceu"
"13/10/19",0.04,"sáb","Ceará SC",1,0.24,25,6,0.57,449,0.82,16,1,0,2,11,"casa","venceu"
"13/10/19",0.06,"sáb","Vasco da Gama",1,0.31,16,5,0.59,406,0.8,14,2,0,1,10,"casa","venceu"
"13/10/19",0.05,"sáb","Chapecoense",1,0.36,22,8,0.61,484,0.83,12,1,0,0,9,"casa","empatou"
"16/10/19",0.03,"qua","Palmeiras",1,0.27,30,8,0.72,547,0.86,15,1,0,5,12,"casa","venceu"
"16/10/19",0.17,"qua","Fortaleza",1,0.5,6,3,0.3,203,0.69,8,1,0,2,4,"casa","perdeu"
"16/10/19",0.2,"qua","CSA",2,0.5,10,5,0.42,358,0.82,18,3,0,2,1,"casa","empatou"
"16/10/19",0.09,"qua","Cruzeiro",1,0.18,11,2,0.4,363,0.8,18,2,0,3,4,"casa","venceu"
