data;time-casa;gol-casa;chutes-casa;chutesgol-casa;possebola-casa;passes-casa;Precisaopasse-casa;faltas-casa;cartaoamarelo-casa;cartaovermelho-casa;impedimentos-casa;escanteios-casa;time-fora;gol-fora;chutes-fora;chutesgol-fora;possebola-fora;passes-fora;Precisaopasse-fora;faltas-fora;cartaoamarelo-fora;cartaovermelho-fora;impedimentos-fora;escanteios-fora
23/06/21;São Paulo;2;17;7;66%;614;87%;18;1;0;3;5;Cuiabá;2;5;3;34%;323;72%;14;1;0;0;2
23/06/21;Atlético-GO;1;9;2;49%;390;82%;22;3;0;0;6;Fluminense;0;3;2;51%;394;80%;17;3;0;4;5
23/06/21;Bragantino;3;12;6;47%;428;82%;13;3;0;1;5;Palmeiras;1;17;5;53%;446;81%;13;3;0;1;10
21/06/21;Atlético-MG;1;14;2;67%;593;88%;9;1;0;0;9;Chapecoense;1;13;1;33%;281;72%;10;1;0;2;7
23/06/21;Flamengo;2;19;7;63%;470;84%;18;1;0;1;11;Fortaleza;1;10;5;37%;286;73%;15;1;0;2;2
24/06/21;Corinthians;2;16;3;51%;502;86%;8;0;0;1;4;Sport Recife;1;9;3;49%;475;84%;17;3;0;0;5
24/06/21;Bahia;2;20;7;70%;577;86%;12;2;0;3;9;Athletico-PR;1;9;4;30%;256;64%;8;1;2;1;2
24/06/21;Chapecoense;1;11;5;53%;366;78%;12;2;1;2;9;Internacional;2;25;11;47%;345;77%;19;3;2;3;9
24/06/21;América-MG;1;12;2;54%;459;84%;17;1;1;0;8;Juventude;1;8;3;46%;408;82%;16;2;0;1;3
24/06/21;Ceará SC;2;16;8;33%;262;67%;16;3;0;1;6;Atlético-MG;1;16;6;67%;541;84%;16;4;0;5;7
27/06/21;Athletico-PR;2;18;5;62%;519;84%;12;1;0;0;6;Chapecoense;2;12;5;38%;313;72%;15;1;0;2;5
24/06/21;Grêmio;2;19;6;47%;415;81%;21;2;0;2;7;Santos;2;6;3;53%;483;84%;14;3;0;2;1
27/06/21;Fluminense;1;15;5;46%;449;85%;14;3;1;1;8;Corinthians;1;10;4;54%;535;86%;11;1;0;0;5
27/06/21;Palmeiras;3;19;8;58%;437;80%;10;3;0;6;7;Bahia;2;18;4;42%;331;74%;16;4;0;1;7
27/06/21;Juventude;1;8;4;35%;284;51%;17;2;0;4;5;Flamengo;0;13;2;65%;510;72%;12;1;0;1;10
27/06/21;Santos;2;11;6;49%;406;79%;20;4;0;1;4;Atlético-MG;0;11;3;51%;408;78%;16;2;1;4;6
27/06/21;Ceará SC;1;18;7;36%;268;69%;20;4;0;1;3;São Paulo;1;11;2;64%;461;83%;12;6;0;5;6
27/06/21;Grêmio;0;18;5;58%;398;81%;13;2;1;1;10;Fortaleza;0;15;6;42%;301;72%;12;4;0;3;5
27/06/21;Sport Recife;0;8;1;44%;445;84%;11;0;0;3;3;Cuiabá;0;12;3;56%;537;86%;17;1;0;2;7
27/06/21;América-MG;1;13;6;40%;309;72%;16;2;0;1;5;Internacional;1;10;3;60%;474;79%;20;3;0;0;5
30/06/21;Bahia;3;20;7;72%;605;89%;6;4;0;3;8;América-MG;4;16;8;28%;238;72%;9;0;0;5;4
28/06/21;Atlético-GO;0;12;2;42%;336;72%;24;2;0;1;5;Bragantino;1;12;5;58%;468;80%;16;2;0;0;8
30/06/21;Fortaleza;3;22;10;64%;458;82%;17;2;1;2;2;Chapecoense;2;9;5;36%;259;65%;24;3;0;2;7
30/06/21;Fluminense;1;12;4;56%;517;86%;16;1;0;1;9;Athletico-PR;4;11;5;44%;430;85%;15;2;0;1;2
30/06/21;Internacional;1;16;5;67%;544;85%;14;3;0;0;7;Palmeiras;2;14;6;33%;269;68%;13;2;1;1;3
01/07/21;Bragantino;0;13;2;65%;532;84%;11;1;0;0;6;Ceará SC;0;8;3;35%;307;72%;17;2;1;2;6
01/07/21;Atlético-MG;4;19;9;46%;480;82%;13;0;0;1;4;Atlético-GO;1;7;3;54%;561;84%;12;2;0;1;4
30/06/21;Corinthians;0;10;3;41%;388;78%;15;1;0;1;5;São Paulo;0;8;3;59%;559;85%;26;1;0;5;3
30/06/21;Santos;0;13;1;68%;592;84%;11;1;0;1;7;Sport Recife;0;8;2;32%;286;70%;19;4;0;3;1
30/06/21;Juventude;2;11;5;30%;295;74%;15;3;0;0;3;Grêmio;0;13;3;70%;689;90%;12;0;0;1;6
03/07/21;Corinthians;1;20;9;58%;540;82%;11;2;0;0;3;Internacional;1;7;3;42%;407;73%;17;2;0;2;2
04/07/21;Chapecoense;0;7;1;47%;389;75%;14;2;0;4;9;Bahia;2;13;6;53%;452;79%;13;1;0;0;5
03/07/21;América-MG;2;8;4;27%;245;69%;13;4;0;4;2;Santos;0;21;8;73%;636;87%;6;3;0;2;12
03/07/21;Athletico-PR;2;16;8;41%;364;78%;18;3;0;3;3;Fortaleza;1;15;4;59%;513;84%;14;3;0;0;4
01/07/21;Cuiabá;0;9;2;43%;418;86%;18;3;0;2;1;Flamengo;2;12;5;57%;528;85%;26;5;0;3;5
04/07/21;São Paulo;1;9;6;48%;452;78%;25;1;0;2;4;Bragantino;2;12;5;52%;483;81%;14;2;0;1;7
04/07/21;Flamengo;0;21;4;67%;579;88%;11;2;0;0;6;Fluminense;1;11;5;33%;282;73%;15;1;0;2;5
04/07/21;Sport Recife;0;13;1;49%;414;85%;23;2;0;0;3;Palmeiras;1;14;5;51%;436;83%;13;1;0;1;6
04/07/21;Ceará SC;2;12;5;64%;530;84%;23;2;0;0;4;Juventude;0;4;3;36%;302;71%;15;1;1;0;3
04/07/21;Cuiabá;0;11;4;60%;564;87%;14;5;0;2;5;Atlético-MG;1;4;1;40%;387;80%;15;2;0;2;1
06/07/21;Santos;2;18;9;54%;503;86%;17;2;0;2;7;Athletico-PR;1;11;2;46%;428;80%;13;2;0;2;4
07/07/21;Bragantino;1;10;1;54%;436;81%;15;3;0;0;4;Cuiabá;1;9;2;46%;388;78%;21;2;0;1;6
07/07/21;Fortaleza;4;16;5;56%;466;83%;18;2;0;2;2;América-MG;0;11;3;44%;378;79%;16;1;0;1;3
04/07/21;Grêmio;0;21;4;63%;662;89%;16;3;0;2;11;Atlético-GO;1;10;5;37%;405;80%;9;0;0;4;7
07/07/21;Bahia;1;8;2;53%;508;85%;19;2;0;1;3;Juventude;0;9;3;47%;468;83%;19;3;0;3;2
07/07/21;Internacional;0;9;2;52%;416;76%;21;2;0;0;7;São Paulo;2;11;5;48%;396;76%;24;3;0;4;3
07/07/21;Palmeiras;2;18;6;47%;429;85%;15;2;0;2;4;Grêmio;0;12;4;53%;465;88%;16;2;0;0;5
07/07/21;Fluminense;0;16;5;64%;488;82%;24;2;0;2;4;Ceará SC;0;7;2;36%;282;70%;21;3;0;0;0
07/07/21;Atlético-MG;2;12;6;49%;501;86%;19;1;0;2;3;Flamengo;1;16;6;51%;497;88%;10;1;0;3;6
07/07/21;Atlético-GO;1;13;4;57%;513;87%;16;4;0;0;4;Sport Recife;1;11;3;43%;372;83%;9;1;0;1;7
10/07/21;Grêmio;0;11;2;51%;409;73%;12;1;0;2;5;Internacional;0;16;8;49%;401;76%;19;2;0;0;7
10/07/21;Athletico-PR;2;22;6;55%;490;83%;18;0;0;0;3;Bragantino;2;16;4;45%;409;80%;16;4;0;3;2
10/07/21;Sport Recife;1;11;3;49%;446;81%;16;1;0;2;1;Fluminense;2;13;9;51%;455;85%;13;3;0;3;3
08/07/21;Chapecoense;0;14;4;42%;397;81%;17;3;0;2;5;Corinthians;1;12;5;58%;549;87%;10;0;0;0;8
10/07/21;Palmeiras;3;14;7;35%;280;76%;19;1;0;3;6;Santos;2;12;2;65%;498;91%;21;6;0;0;5
10/07/21;América-MG;0;12;2;49%;386;76%;15;1;0;3;8;Atlético-MG;1;13;5;51%;403;76%;17;1;0;0;10
10/07/21;São Paulo;1;15;6;63%;566;83%;16;0;0;2;2;Bahia;0;6;2;37%;341;71%;15;1;0;0;1
11/07/21;Juventude;1;15;3;51%;454;84%;17;2;0;1;4;Atlético-GO;1;8;4;49%;459;84%;23;2;0;0;3
11/07/21;Cuiabá;2;11;3;41%;338;81%;9;0;1;1;4;Ceará SC;2;20;7;59%;479;83%;13;2;0;2;7
11/07/21;Flamengo;2;24;7;72%;661;89%;19;3;0;0;11;Chapecoense;1;13;4;28%;262;68%;16;3;0;2;1
17/07/21;Corinthians;1;12;2;37%;363;75%;9;0;0;0;2;Atlético-MG;2;13;8;63%;602;87%;22;2;0;2;5
17/07/21;Fluminense;0;10;2;57%;549;86%;13;1;0;0;3;Grêmio;1;8;1;43%;416;85%;12;4;0;0;4
11/07/21;Fortaleza;1;16;4;43%;411;84%;13;4;0;1;7;Corinthians;0;7;1;57%;529;88%;14;3;0;1;6
17/07/21;Ceará SC;1;21;4;53%;436;84%;11;4;0;3;5;Athletico-PR;0;9;1;47%;386;84%;15;3;0;0;5
17/07/21;São Paulo;0;10;3;59%;358;77%;18;3;0;1;9;Fortaleza;1;9;4;41%;267;69%;20;2;0;1;5
18/07/21;Bahia;0;11;3;35%;332;81%;18;5;0;0;4;Flamengo;5;16;10;65%;633;89%;8;1;0;2;3
18/07/21;Internacional;1;14;5;51%;428;83%;19;4;0;0;7;Juventude;0;11;4;49%;433;82%;14;4;1;2;5
