data;time-casa;gol-casa;chutes-casa;chutesgol-casa;possebola-casa;passes-casa;Precisaopasse-casa;faltas-casa;cartaoamarelo-casa;cartaovermelho-casa;impedimentos-casa;escanteios-casa;time-fora;gol-fora;chutes-fora;chutesgol-fora;possebola-fora;passes-fora;Precisaopasse-fora;faltas-fora;cartaoamarelo-fora;cartaovermelho-fora;impedimentos-fora;escanteios-fora
08/08/20;Coritiba;0;2;0;42%;382;74%;11;3;0;3;2;Internacional;1;11;4;58%;504;81%;21;4;0;2;6
08/08/20;Sport Recife;3;9;3;40%;324;77%;15;3;0;3;2;Ceará SC;2;11;5;60%;487;82%;18;3;0;0;4
09/08/20;Flamengo;0;17;2;63%;525;80%;12;3;0;2;9;Atlético-MG;1;10;4;37%;321;71%;24;2;0;3;2
09/08/20;Santos;1;10;4;54%;444;81%;10;0;0;4;4;Bragantino;1;18;6;46%;377;80%;19;1;0;2;2
08/08/20;Fortaleza;0;11;3;43%;414;86%;14;3;1;1;4;Athletico-PR;2;13;5;57%;549;89%;10;2;0;1;4
12/08/20;Bahia;1;12;5;45%;420;80%;16;0;0;1;3;Coritiba;0;15;3;55%;486;85%;18;5;0;5;8
12/08/20;Athletico-PR;2;19;4;79%;728;92%;16;3;0;1;3;Goiás;1;13;3;21%;196;72%;18;3;0;1;3
09/08/20;Grêmio;1;15;4;53%;496;80%;24;2;0;2;6;Fluminense;0;10;4;47%;447;80%;16;3;0;1;3
12/08/20;Atlético-MG;3;25;13;56%;515;81%;19;0;0;3;8;Corinthians;2;8;5;44%;426;74%;11;1;0;1;4
12/08/20;Bragantino;1;23;8;55%;558;88%;13;3;0;1;12;Botafogo;1;9;3;45%;472;82%;8;1;0;1;3
13/08/20;Internacional;2;25;7;59%;515;83%;28;2;0;2;9;Santos;0;6;1;41%;379;79%;14;3;0;2;4
12/08/20;Fluminense;1;10;1;52%;430;82%;20;3;0;3;3;Palmeiras;1;9;1;48%;400;82%;31;3;0;0;3
13/08/20;São Paulo;1;13;3;52%;474;87%;16;1;0;4;5;Fortaleza;0;12;3;48%;443;85%;18;2;0;3;7
12/08/20;Ceará SC;1;11;5;42%;421;80%;17;3;0;1;1;Grêmio;1;14;8;58%;571;87%;7;1;0;0;7
12/08/20;Atlético-GO;3;13;7;34%;284;72%;15;1;0;2;11;Flamengo;0;9;3;66%;555;88%;19;1;1;1;5
13/08/20;Vasco da Gama;2;9;6;46%;371;81%;29;2;0;1;5;Sport Recife;0;13;1;54%;416;84%;17;3;1;4;8
15/08/20;Coritiba;0;9;2;35%;286;74%;25;4;1;3;5;Flamengo;1;18;7;65%;541;88%;16;3;0;1;5
15/08/20;Grêmio;0;24;8;47%;491;86%;16;2;0;0;7;Corinthians;0;5;2;53%;571;88%;14;3;0;0;5
15/08/20;Palmeiras;1;12;3;65%;668;86%;11;1;0;0;6;Goiás;1;11;5;35%;369;75%;16;3;0;0;2
16/08/20;Atlético-MG;2;11;6;61%;475;82%;14;2;0;2;4;Ceará SC;0;13;1;39%;309;77%;16;4;0;0;0
16/08/20;Bahia;2;10;4;42%;381;76%;16;1;0;2;3;Bragantino;1;16;3;58%;505;82%;16;1;0;1;7
16/08/20;Fluminense;2;10;5;43%;339;76%;13;2;0;1;1;Internacional;1;9;3;57%;433;78%;24;2;0;1;4
16/08/20;Atlético-GO;1;11;4;31%;237;68%;13;0;1;0;4;Sport Recife;1;15;4;69%;509;82%;15;2;0;2;9
16/08/20;Fortaleza;0;12;1;59%;561;90%;9;2;0;2;4;Botafogo;0;15;6;41%;392;87%;8;1;0;1;7
16/08/20;Vasco da Gama;2;8;3;40%;379;82%;16;2;0;1;3;São Paulo;1;11;5;60%;559;86%;15;5;0;1;4
19/08/20;Goiás;1;13;4;48%;379;82%;16;4;0;3;2;Fortaleza;3;13;3;52%;410;79%;15;2;0;2;6
16/08/20;Santos;3;11;6;32%;290;77%;9;1;0;0;2;Athletico-PR;1;12;2;68%;587;88%;22;1;0;0;6
19/08/20;Bragantino;2;13;3;52%;438;82%;19;5;0;2;6;Fluminense;1;9;4;48%;406;81%;14;5;0;0;4
19/08/20;Athletico-PR;0;6;0;56%;459;80%;23;5;0;0;5;Palmeiras;1;10;3;44%;362;78%;20;0;0;3;8
19/08/20;Flamengo;1;8;2;61%;596;87%;17;3;0;1;1;Grêmio;1;10;2;39%;390;80%;20;3;0;3;2
19/08/20;Botafogo;2;10;5;26%;210;63%;9;2;0;1;7;Atlético-MG;1;31;9;74%;609;87%;10;0;0;2;16
